,Rent,Street,Area,Hood,Total-Area,Rooms
7,2760,Rua Gavião Peixoto,64 m² construídos,icarai,64,2.757575757575758
8,1400,,80 m² construídos2 quartos,icarai,80,2.0
9,25000,,430 m² construídos,icarai,430,2.757575757575758
10,1400,Rua Álvares De Azevedo,70 m² construídos2 quartos,icarai,70,2.0
11,2500,,140 m² construídos3 quartos,icarai,140,3.0
12,3900,,149 m² construídos2 quartos,icarai,149,2.0
13,2900,Rua Lopes Trovão,30 m² construídos,icarai,30,2.757575757575758
14,2200,Avenida Roberto Silveira,130 m² construídos3 quartos,icarai,130,3.0
15,60000,,900 m² construídos,icarai,900,2.757575757575758
16,12000,,120 m² construídos,icarai,120,2.757575757575758
17,3358,Rua Gavião Peixoto,80 m² construídos,icarai,80,2.757575757575758
18,1500,,34 m² construídos,icarai,34,2.757575757575758
19,1500,"Avenida Almirante Ary Parreiras, 87",75 m² construídos2 quartos,icarai,75,2.0
20,1300,Rua Presidente Backer,79 m² construídos2 quartos,icarai,79,2.0
21,6500,Travessa Dom Bosco,200 m² construídos,icarai,200,2.757575757575758
22,1200,"Rua Domingues De Sá, 293",28 m² construídos,icarai,28,2.757575757575758
23,12000,Rua Mariz E Barros,120 m² construídos,icarai,120,2.757575757575758
24,3800,"Rua Mem De Sá,
                143",70 m² construídos,icarai,70,2.757575757575758
25,1380,Rua Gavião Peixoto,32 m² construídos,icarai,32,2.757575757575758
26,7000,,270 m² construídos6 quartos,icarai,270,6.0
27,1700,,75 m² construídos2 quartos,icarai,75,2.0
28,1500,Rua Joaquim Távora,140 m² construídos3 quartos,icarai,140,3.0
29,2900,,98 m² construídos2 quartos,icarai,98,2.0
30,6500,Avenida Jornalista Alberto Francisco,130 m² construídos4 quartos,icarai,130,4.0
31,5000,,100 m² construídos,icarai,100,2.757575757575758
32,1200,"Avenida Almirante Ary Parreiras,
                15",25 m² construídos1 quarto,icarai,25,1.0
33,8000,,451 m² construídos4 quartos,icarai,451,4.0
34,900,Rua Miguel De Frias,30 m² construídos,icarai,30,2.757575757575758
35,1200,Rua Doutor Tavares De Macedo,55 m² construídos1 quarto,icarai,55,1.0
36,5000,"Avenida Jornalista Alberto Francisco Torres, 251",400 m² construídos4 quartos,icarai,400,4.0
37,1900,"Rua Mem De Sá, 163",100 m² construídos3 quartos,icarai,100,3.0
38,1500,,68 m² construídos2 quartos,icarai,68,2.0
39,2300,,128 m² construídos3 quartos,icarai,128,3.0
40,1900,"Rua Ministro Otávio Kelly, 467",85 m² construídos2 quartos,icarai,85,2.0
41,7800,,237 m² construídos3 quartos,icarai,237,3.0
42,2900,,145 m² construídos4 quartos,icarai,145,4.0
43,13000,"Rua Geraldo Martins, 198",232 m² construídos,icarai,232,2.757575757575758
44,6000,Avenida Jornalista Alberto Francisco Torres,240 m² construídos4 quartos,icarai,240,4.0
45,4700,,105 m² construídos3 quartos,icarai,105,3.0
46,3300,"Travessa Francisco Dutra, 150",120 m² construídos3 quartos,icarai,120,3.0
47,5000,"Rua Presidente João Pessoa, 57",400 m² construídos5 quartos,icarai,400,5.0
0,1300,"Avenida Sete De Setembro, 279",65 m² construídos2 quartos,icarai,65,2.0
1,2800,,110 m² construídos3 quartos,icarai,110,3.0
2,2900,"Rua Ministro Otávio Kelly, 499",92 m² construídos2 quartos,icarai,92,2.0
3,25000,"Avenida Jornalista Alberto Francisco Torres, 329",372 m² construídos4 quartos,icarai,372,4.0
4,1800,,84 m² construídos2 quartos,icarai,84,2.0
5,4000,"Rua Coronel Moreira Cesar, 179",220 m² construídos4 quartos,icarai,220,4.0
6,2950,,149 m² construídos3 quartos,icarai,149,3.0
7,2750,,85 m² construídos2 quartos,icarai,85,2.0
8,6900,,202 m² construídos4 quartos,icarai,202,4.0
9,3590,"Rua Cinco De Julho, 267",142 m² construídos4 quartos,icarai,142,4.0
10,3590,"Rua Cinco De Julho, 267",142 m² construídos4 quartos,icarai,142,4.0
11,20000,,677 m² construídos,icarai,677,2.8684210526315788
12,3200,"Avenida Jornalista Alberto Francisco Torres, 177",250 m² construídos3 quartos,icarai,250,3.0
13,1850,"Rua Ministro Otávio Kelly, 467",77 m² construídos2 quartos,icarai,77,2.0
14,2200,,83 m² construídos2 quartos,icarai,83,2.0
15,2500,,25 m² construídos,icarai,25,2.8684210526315788
16,2600,"Rua General Pereira Da Silva, 185",110 m² construídos3 quartos,icarai,110,3.0
17,2000,"Rua Lopes Trovão, 127",100 m² construídos3 quartos,icarai,100,3.0
18,2997,,120 m² construídos4 quartos,icarai,120,4.0
19,17000,"Rua Nóbrega, 264",300 m² construídos,icarai,300,2.8684210526315788
20,1400,"Avenida Almirante Ari Parreiras, 403",80 m² construídos2 quartos,icarai,80,2.0
21,20000,,548 m² construídos,icarai,548,2.8684210526315788
22,1100,"Avenida Almirante Ari Parreiras, 636",95 m² construídos2 quartos,icarai,95,2.0
23,1490,"Travessa Dom Bosco, 43",136 m² construídos4 quartos,icarai,136,4.0
24,6000,"Rua Osvaldo Cruz, 36",296 m² construídos4 quartos,icarai,296,4.0
25,2300,"Rua Coronel Moreira Cesar, 330",110 m² construídos3 quartos,icarai,110,3.0
26,2300,"Rua Doutor Carlos Halfeld, 10",90 m² construídos2 quartos,icarai,90,2.0
27,3600,,209 m² construídos4 quartos,icarai,209,4.0
28,1980,,85 m² construídos2 quartos,icarai,85,2.0
29,1980,,75 m² construídos2 quartos,icarai,75,2.0
30,3500,"Rua Professor Miguel Couto, 378",134 m² construídos4 quartos,icarai,134,4.0
31,4800,"Rua Mariz E Barros, 25",130 m² construídos3 quartos,icarai,130,3.0
32,2500,,110 m² construídos3 quartos,icarai,110,3.0
33,1000,Avenida Jornalista Alberto Francisco Torres,63 m² construídos1 quarto,icarai,63,1.0
34,19000,,500 m² construídos,icarai,500,2.8684210526315788
35,1800,"Rua Guilherme Geenhalch, 29",90 m² construídos3 quartos,icarai,90,3.0
36,2600,"Rua General Pereira Da Silva, 75",78 m² construídos3 quartos,icarai,78,3.0
37,1700,,96 m² construídos3 quartos,icarai,96,3.0
38,17000,"Rua Nóbrega, 264",300 m² construídos,icarai,300,2.8684210526315788
39,17000,"Rua Nóbrega, 264",300 m² construídos,icarai,300,2.8684210526315788
40,2000,,70 m² construídos2 quartos,icarai,70,2.0
41,1200,"Travessa Dom Bosco, 85",79 m² construídos2 quartos,icarai,79,2.0
42,4500,,108 m² construídos,icarai,108,2.8684210526315788
43,2472,,110 m² construídos3 quartos,icarai,110,3.0
44,1200,,101 m² construídos,icarai,101,2.8684210526315788
45,2500,,130 m² construídos4 quartos,icarai,130,4.0
46,5500,Travessa Dom Bosco,230 m² construídos,icarai,230,2.8684210526315788
47,2200,"Rua Gavião Peixoto, 27",100 m² construídos2 quartos,icarai,100,2.0
0,1500,,35 m² construídos,icarai,35,2.6216216216216215
1,1500,,68 m² construídos2 quartos,icarai,68,2.0
2,1350,Avenida Almirante Ary Parreiras,75 m² construídos2 quartos,icarai,75,2.0
3,6000,6 0 Loc,180 m² construídos4 quartos,icarai,180,4.0
4,1600,"Rua Doutor Tavares De Macedo, 20",76 m² construídos2 quartos,icarai,76,2.0
5,1300,"Rua Mariz E Barros, 176",101 m² construídos,icarai,101,2.6216216216216215
6,5000,"Rua Presidente João Pessoa, 299",260 m² construídos,icarai,260,2.6216216216216215
7,4000,Rua Lopes Trovão,216 m² construídos4 quartos,icarai,216,4.0
8,1500,"Rua Lopes Trovão, 294",60 m² construídos1 quarto,icarai,60,1.0
9,4500,Rua Mem De Sá,161 m² construídos3 quartos,icarai,161,3.0
10,1560,,118 m² construídos3 quartos,icarai,118,3.0
11,2500,,140 m² construídos3 quartos,icarai,140,3.0
12,2700,"Avenida Jornalista Alberto Francisco Torres, 119",130 m² construídos3 quartos,icarai,130,3.0
13,1900,,85 m² construídos3 quartos,icarai,85,3.0
14,1800,"Rua Joaquim Távora, 122",57 m² construídos1 quarto,icarai,57,1.0
15,4200,"Rua Presidente João Pessoa, 299",125 m² construídos,icarai,125,2.6216216216216215
16,4000,,220 m² construídos4 quartos,icarai,220,4.0
17,2300,,37 m² construídos1 quarto,icarai,37,1.0
18,1800,,85 m² construídos2 quartos,icarai,85,2.0
19,1350,"Rua Mariz E Barros, 176",42 m² construídos,icarai,42,2.6216216216216215
20,3000,Rua Álvares De Azevedo,140 m² construídos4 quartos,icarai,140,4.0
21,1600,"Avenida Jornalista Alberto Francisco Torres, 69",60 m² construídos2 quartos,icarai,60,2.0
22,3500,,74 m² construídos2 quartos,icarai,74,2.0
23,2200,Avenida Roberto Silveira,130 m² construídos3 quartos,icarai,130,3.0
24,3200,"Rua Coronel Moreira Cesar, 81",122 m² construídos3 quartos,icarai,122,3.0
25,2800,,217 m² construídos4 quartos,icarai,217,4.0
26,1500,,70 m² construídos2 quartos,icarai,70,2.0
27,2800,Rua Coronel Moreira Cesar,30 m² construídos,icarai,30,2.6216216216216215
28,2000,,90 m² construídos3 quartos,icarai,90,3.0
29,1700,"Rua Coronel Moreira Cesar, 264",80 m² construídos2 quartos,icarai,80,2.0
30,2200,"Rua Domingues De Sá, 340",120 m² construídos3 quartos,icarai,120,3.0
31,2200,"Rua Miguel De Frias, 44",110 m² construídos3 quartos,icarai,110,3.0
32,1750,,40 m² construídos1 quarto,icarai,40,1.0
33,5000,,80 m² construídos,icarai,80,2.6216216216216215
34,5500,Rua Mem De Sá,130 m² construídos3 quartos,icarai,130,3.0
35,3500,Rua Coronel Moreira Cesar,221 m² construídos4 quartos,icarai,221,4.0
36,6000,,80 m² construídos,icarai,80,2.6216216216216215
37,6000,,80 m² construídos,icarai,80,2.6216216216216215
38,2100,"Rua Gavião Peixoto, 343",95 m² construídos3 quartos,icarai,95,3.0
39,5200,Avenida Jornalista Alberto Francisco Torres,150 m² construídos3 quartos,icarai,150,3.0
40,1600,"Rua Doutor Tavares De Macedo, 10",73 m² construídos2 quartos,icarai,73,2.0
41,2200,"Avenida Roberto Silveira, 496",130 m² construídos3 quartos,icarai,130,3.0
42,2600,"Rua Coronel Moreira Cesar, 330",143 m² construídos3 quartos,icarai,143,3.0
43,9500,"Rua Gavião Peixoto, 387",175 m² construídos,icarai,175,2.6216216216216215
44,1200,Rua General Silvestre Rocha,59 m² construídos1 quarto,icarai,59,1.0
45,2100,Rua Joaquim Távora,100 m² construídos3 quartos,icarai,100,3.0
46,1700,Rua Otávio Carneiro,70 m² construídos2 quartos,icarai,70,2.0
47,2500,"Rua Cinco De Julho, 190",25 m² construídos,icarai,25,2.6216216216216215
0,2000,,90 m² construídos3 quartos,icarai,90,3.0
1,1380,Rua Gavião Peixoto,120 m² construídos3 quartos,icarai,120,3.0
2,1100,Avenida Sete De Setembro,67 m² construídos2 quartos,icarai,67,2.0
3,2000,Rua Professor Miguel Couto,120 m² construídos4 quartos,icarai,120,4.0
4,1750,Avenida Sete De Setembro,85 m² construídos3 quartos,icarai,85,3.0
5,1800,Rua Coronel Moreira Cesar,90 m² construídos2 quartos,icarai,90,2.0
6,2100,Rua Mem De Sá,160 m² construídos2 quartos,icarai,160,2.0
7,1375,Avenida Almirante Ary Parreiras,75 m² construídos2 quartos,icarai,75,2.0
8,3800,Rua Coronel Moreira César,125 m² construídos3 quartos,icarai,125,3.0
9,2000,Rua Lopes Trovão,217 m² construídos5 quartos,icarai,217,5.0
10,1200,,55 m² construídos1 quarto,icarai,55,1.0
11,3485,Travessa Dom Bosco,140 m² construídos3 quartos,icarai,140,3.0
12,1300,Rua Joaquim Távora,78 m² construídos2 quartos,icarai,78,2.0
13,1300,Rua Coronel Moreira Cesar,80 m² construídos2 quartos,icarai,80,2.0
14,1700,Rua Doutor Tavares De Macedo,149 m² construídos2 quartos,icarai,149,2.0
15,2130,Avenida Roberto Silveira,115 m² construídos3 quartos,icarai,115,3.0
16,2000,Rua Doutor Mario Viana,55 m² construídos2 quartos,icarai,55,2.0
17,2500,Avenida Marquês Do Paraná,60 m² construídos2 quartos,icarai,60,2.0
18,1850,Rua  Dr. Paulo César,75 m² construídos2 quartos,icarai,75,2.0
19,12000,Rua Joaquim Távora,154 m² construídos3 quartos,icarai,154,3.0
20,2960,Rua Belisario Augusto,110 m² construídos4 quartos,icarai,110,4.0
21,1408,Avenida Sete De Setembro,70 m² construídos2 quartos,icarai,70,2.0
22,1500,Avenida Jornalista Alberto Francisco Torres,90 m² construídos3 quartos,icarai,90,3.0
23,1378,Rua Joaquim Távora,149 m² construídos4 quartos,icarai,149,4.0
24,5800,Rua Osvaldo Cruz,310 m² construídos4 quartos,icarai,310,4.0
25,1880,,65 m² construídos2 quartos,icarai,65,2.0
26,1500,"Travessa Dom Bosco, 85",110 m² construídos3 quartos,icarai,110,3.0
27,4500,Rua Mariz E Barros,130 m² construídos3 quartos,icarai,130,3.0
28,3800,Rua Presidente João Pessoa,300 m² construídos4 quartos,icarai,300,4.0
29,3000,Rua Osvaldo Cruz,114 m² construídos4 quartos,icarai,114,4.0
30,7000,Av. Jorn. Alberto Francisco Torres,197 m² construídos4 quartos,icarai,197,4.0
31,9000,Avenida Jornalista Alberto Francisco Torres,350 m² construídos4 quartos,icarai,350,4.0
32,4850,Avenida Almirante Ary Parreiras,266 m² construídos4 quartos,icarai,266,4.0
33,3000,Rua Mem De Sá,110 m² construídos3 quartos,icarai,110,3.0
34,8000,Avenida Jornalista Alberto Francisco Torres,170 m² construídos4 quartos,icarai,170,4.0
35,2500,Rua Joaquim Távora,170 m² construídos3 quartos,icarai,170,3.0
36,10000,Av. Jorn. Alberto Francisco Torres,180 m² construídos4 quartos,icarai,180,4.0
37,3400,Rua Coronel Moreira Cesar,120 m² construídos3 quartos,icarai,120,3.0
38,3000,Rua Álvares De Azevedo,140 m² construídos4 quartos,icarai,140,4.0
39,1500,Avenida Almirante Ary Parreiras,88 m² construídos2 quartos,icarai,88,2.0
40,1600,Rua Santa Rosa,110 m² construídos3 quartos,icarai,110,3.0
41,2000,Rua Coronel Moreira Cesar,80 m² construídos2 quartos,icarai,80,2.0
42,2200,"Avenida Roberto Silveira, 496",120 m² construídos3 quartos,icarai,120,3.0
43,2000,Rua Belisário Augusto,80 m² construídos3 quartos,icarai,80,3.0
44,2200,Avenida Jornalista Alberto Francisco Torres,60 m² construídos2 quartos,icarai,60,2.0
45,3500,Rua Mariz E Barros,120 m² construídos4 quartos,icarai,120,4.0
46,2300,Rua Presidente Backer,88 m² construídos3 quartos,icarai,88,3.0
47,3500,Avenida Jornalista Alberto Francisco Torres,140 m² construídos3 quartos,icarai,140,3.0
0,1350,Rua Presidente Pedreira,58 m² construídos2 quartos,inga,58,2.0
1,3060,Rua Doutor Nilo Peçanha,110 m² construídos3 quartos,inga,110,3.0
2,1500,Rua Doutor Paulo Alves,80 m² construídos2 quartos,inga,80,2.0
3,1924,Rua Tiradentes,60 m² construídos2 quartos,inga,60,2.0
4,1200,Rua Fagundes Varela,70 m² construídos2 quartos,inga,70,2.0
5,1150,Rua Pereira Nunes,70 m² construídos1 quarto,inga,70,1.0
6,1600,Rua Fagundes Varela,80 m² construídos2 quartos,inga,80,2.0
7,2500,Rua Fagundes Varela,90 m² construídos2 quartos,inga,90,2.0
8,1500,Rua Doutor Paulo Alves,90 m² construídos2 quartos,inga,90,2.0
9,1900,,280 m² construídos,inga,280,2.577777777777778
10,1400,Rua Pereira Nunes,70 m² construídos2 quartos,inga,70,2.0
11,1600,Rua Doutor Nilo Peçanha,190 m² construídos4 quartos,inga,190,4.0
12,1500,Rua Visconde Morais,135 m² construídos3 quartos,inga,135,3.0
13,1500,Rua Presidente Pedreira,150 m² construídos3 quartos,inga,150,3.0
14,1200,Rua São Sebastião,75 m² construídos3 quartos,inga,75,3.0
15,1800,110 Bloco B Loc,101 m² construídos3 quartos,inga,101,3.0
16,2000,96 Loc Apartamento,93 m² construídos2 quartos,inga,93,2.0
17,1500,Rua Pereira Nunes,45 m² construídos1 quarto,inga,45,1.0
18,1000,Rua Doutor Araújo Pimenta,65 m² construídos2 quartos,inga,65,2.0
19,2700,"Rua Doutor Nilo Peçanha,
                110",90 m² construídos2 quartos,inga,90,2.0
20,2900,,86 m² construídos2 quartos,inga,86,2.0
21,1500,,60 m² construídos2 quartos,inga,60,2.0
22,6500,,170 m² construídos3 quartos,inga,170,3.0
23,2400,,150 m² construídos3 quartos,inga,150,3.0
24,1300,,80 m² construídos2 quartos,inga,80,2.0
25,1700,,65 m² construídos2 quartos,inga,65,2.0
26,2000,,80 m² construídos2 quartos,inga,80,2.0
27,4500,,290 m² construídos4 quartos,inga,290,4.0
28,3500,,140 m² construídos4 quartos,inga,140,4.0
29,2300,,76 m² construídos2 quartos,inga,76,2.0
30,4000,,200 m² construídos3 quartos,inga,200,3.0
31,2300,,100 m² construídos3 quartos,inga,100,3.0
32,1500,"Rua Tiradentes, 200",140 m² construídos3 quartos,inga,140,3.0
33,1000,"Rua Visconde De Morais, 232",50 m² construídos1 quarto,inga,50,1.0
34,2400,,90 m² construídos4 quartos,inga,90,4.0
35,6300,,300 m² construídos3 quartos,inga,300,3.0
36,3300,,166 m² construídos4 quartos,inga,166,4.0
37,1850,,85 m² construídos2 quartos,inga,85,2.0
38,1500,Rua Presidente Domiciano,110 m² construídos3 quartos,inga,110,3.0
39,1000,Rua Presidente Pedreira,70 m² construídos2 quartos,inga,70,2.0
40,6300,Rua Visconde De Morais,200 m² construídos4 quartos,inga,200,4.0
41,2200,"Rua Doutor Paulo Alves, 72",75 m² construídos2 quartos,inga,75,2.0
42,2900,,86 m² construídos2 quartos,inga,86,2.0
43,5000,"Morro São Sebastião, 106",180 m² construídos,inga,180,2.577777777777778
44,2000,"Rua Presidente Pedreira, 147",110 m² construídos3 quartos,inga,110,3.0
45,3000,"Rua Fagundes Varela, 312",180 m² construídos,inga,180,2.577777777777778
46,6000,"Rua Visconde De Morais, 251",170 m² construídos4 quartos,inga,170,4.0
47,2450,"Rua Pereira Nunes, 27",350 m² construídos4 quartos,inga,350,4.0
0,1500,Rua Tiradentes,130 m² construídos3 quartos,inga,130,3.0
1,1300,Rua Presidente Domiciano,150 m² construídos3 quartos,inga,150,3.0
2,2000,,35 m² construídos,inga,35,2.8863636363636362
3,1700,"Rua Doutor Paulo Alves, 110",100 m² construídos3 quartos,inga,100,3.0
4,1700,"Rua Tiradentes, 103",72 m² construídos2 quartos,inga,72,2.0
5,1600,Rua Presidente Pedreira,115 m² construídos3 quartos,inga,115,3.0
6,3500,,150 m² construídos5 quartos,inga,150,5.0
7,2165,Rua Itapuca,60 m² construídos1 quarto,inga,60,1.0
8,1250,Rua Presidente Pedreira,56 m² construídos2 quartos,inga,56,2.0
9,2950,Rua Doutor Paulo Alves,165 m² construídos3 quartos,inga,165,3.0
10,1200,Rua Presidente Pedreira,60 m² construídos2 quartos,inga,60,2.0
11,2200,Rua Tiradentes,80 m² construídos3 quartos,inga,80,3.0
12,1350,Rua Presidente Pedreira,80 m² construídos3 quartos,inga,80,3.0
13,1410,Rua Itapuca,65 m² construídos1 quarto,inga,65,1.0
14,1200,Rua Doutor Nilo Peçanha,70 m² construídos2 quartos,inga,70,2.0
15,12500,Avenida Engenheiro Martins Romeo,700 m² construídos4 quartos,inga,700,4.0
16,2000,Rua Presidente Pedreira,100 m² construídos4 quartos,inga,100,4.0
17,6200,Rua Visconde Morais,200 m² construídos4 quartos,inga,200,4.0
18,4500,Praia João Caetano,300 m² construídos4 quartos,inga,300,4.0
19,1800,Rua Doutor Paulo Alves,80 m² construídos3 quartos,inga,80,3.0
20,1800,Rua Tiradentes,85 m² construídos2 quartos,inga,85,2.0
21,1800,Rua São Sebastião,100 m² construídos3 quartos,inga,100,3.0
22,1500,Rua Presidente Pedreira,65 m² construídos2 quartos,inga,65,2.0
23,1800,Avenida Engenheiro Martins Romeo,70 m² construídos2 quartos,inga,70,2.0
24,1800,"Rua Doutor Nilo Peçanha, 1",152 m² construídos3 quartos,inga,152,3.0
25,2000,,29 m² construídos,inga,29,2.8863636363636362
26,1500,Rua Tiradentes,100 m² construídos3 quartos,inga,100,3.0
27,1200,,58 m² construídos2 quartos,inga,58,2.0
28,1500,"Rua Visconde De Morais, 270",130 m² construídos3 quartos,inga,130,3.0
29,1250,,60 m² construídos2 quartos,inga,60,2.0
30,15000,,380 m² construídos7 quartos,inga,380,7.0
31,1350,,70 m² construídos2 quartos,inga,70,2.0
32,2000,Rua São Sebastião,140 m² construídos4 quartos,inga,140,4.0
33,1150,,50 m² construídos1 quarto,inga,50,1.0
34,8900,,290 m² construídos4 quartos,inga,290,4.0
35,4500,155,280 m² construídos4 quartos,inga,280,4.0
36,1650,38 Bloco 2 Loc,60 m² construídos2 quartos,inga,60,2.0
37,3000,27,410 m² construídos4 quartos,inga,410,4.0
38,7800,75 Loc,205 m² construídos4 quartos,inga,205,4.0
39,3500,106 Loja,200 m² construídos,inga,200,2.8863636363636362
40,2200,270 B,59 m² construídos,inga,59,2.8863636363636362
41,1500,"Rua Presidente Pedreira, 35",122 m² construídos2 quartos,inga,122,2.0
42,1600,,100 m² construídos3 quartos,inga,100,3.0
43,6300,"Rua Visconde De Morais, 251",200 m² construídos4 quartos,inga,200,4.0
44,1600,Rua Fagundes Varella,85 m² construídos2 quartos,inga,85,2.0
45,1800,"Rua Presidente Pedreira, 38",60 m² construídos2 quartos,inga,60,2.0
46,3500,,180 m² construídos3 quartos,inga,180,3.0
47,1750,,90 m² construídos2 quartos,inga,90,2.0
0,1250,Rua Fagundes Varela,62 m² construídos2 quartos,inga,62,2.0
1,6000,251 Casa,300 m² construídos4 quartos,inga,300,4.0
2,2300,Rua Fagundes Varela,250 m² construídos5 quartos,inga,250,5.0
3,1300,,80 m² construídos2 quartos,inga,80,2.0
4,2500,,350 m² construídos4 quartos,inga,350,4.0
5,1200,,60 m² construídos2 quartos,inga,60,2.0
6,2100000,Rua Tiradentes 71 202,70 m² construídos2 quartos,inga,70,2.0
0,2100,Rua Juciara,100 m² construídos3 quartos,ilha-da-conceicao,100,3.0
1,2100,,90 m² construídos3 quartos,ilha-da-conceicao,90,3.0
2,1250,Rua Juciara,60 m² construídos,ilha-da-conceicao,60,2.6666666666666665
3,1200,,43 m² construídos2 quartos,ilha-da-conceicao,43,2.0
0,1900,,90 m² construídos2 quartos,itacoatiara,90,2.0
1,4500,,110 m² construídos3 quartos,itacoatiara,110,3.0
2,2000,1035 Bl 03 Loc,110 m² construídos3 quartos,itacoatiara,110,3.0
3,2000,99 Loc 04,112 m² construídos4 quartos,itacoatiara,112,4.0
4,1500,,120 m² construídos3 quartos,itacoatiara,120,3.0
0,800,"Estrada Frei Orlando, 566",56 m² construídos2 quartos,jacare,56,2.0
1,1150,,55 m² construídos2 quartos,jacare,55,2.0
2,1200,"Estrada Frei Orlando, 567",60 m² construídos2 quartos,jacare,60,2.0
3,1200,567 Bloco 7 Ap 607 Loc,52 m² construídos2 quartos,jacare,52,2.0
4,1200,566 Bl 05,52 m² construídos2 quartos,jacare,52,2.0
0,2000,,80 m² construídos2 quartos,jardim-fluminense,80,2.0
1,2500,,100 m² construídos3 quartos,jardim-fluminense,100,3.0
2,4500,,75 m² construídos3 quartos,jardim-fluminense,75,3.0
3,1500,,70 m² construídos2 quartos,jardim-fluminense,70,2.0
4,1500,,70 m² construídos2 quartos,jardim-fluminense,70,2.0
0,1700,,80 m² construídos2 quartos,jardim-icarai,80,2.0
1,1900,,85 m² construídos2 quartos,jardim-icarai,85,2.0
2,2200,,87 m² construídos2 quartos,jardim-icarai,87,2.0
3,15000,,440 m² construídos,jardim-icarai,440,2.0
0,1100,Rua Domingues De Sá,120 m² construídos3 quartos,largo-do-narradas,120,3.0
1,598,Rua Doutor March,64 m² construídos2 quartos,largo-do-narradas,64,2.0
2,650,"Rua Noronha Torrezão,
                24",25 m² construídos,largo-do-narradas,25,2.1363636363636362
3,700,Travessa José De Alencar,35 m² construídos1 quarto,largo-do-narradas,35,1.0
4,2000,Rua Miguel De Frias,50 m² construídos1 quarto,largo-do-narradas,50,1.0
5,2800,Avenida Prefeito Sylvio Picanço,113 m² construídos3 quartos,largo-do-narradas,113,3.0
6,1500,Rua Marquês De Paraná,65 m² construídos2 quartos,largo-do-narradas,65,2.0
7,750,Rua São João,30 m² construídos1 quarto,largo-do-narradas,30,1.0
8,1050,Rua Professor Otacílio,70 m² construídos2 quartos,largo-do-narradas,70,2.0
9,3200,Rua Dom Bosco,114 m² construídos3 quartos,largo-do-narradas,114,3.0
10,1480,Rua Domingues De Sá,70 m² construídos1 quarto,largo-do-narradas,70,1.0
11,1350,Rua Presidente Pedreira,58 m² construídos2 quartos,largo-do-narradas,58,2.0
12,1050,Alameda São Boaventura,120 m² construídos3 quartos,largo-do-narradas,120,3.0
13,1100,Avenida Jornalista Alberto Francisco Torres,40 m² construídos1 quarto,largo-do-narradas,40,1.0
14,1650,"Rua Doutor March, 329 - Barreto, Niterói - Rj, Brasil",50 m² construídos2 quartos,largo-do-narradas,50,2.0
15,1450,Rua Doutor Mario Vianna,80 m² construídos2 quartos,largo-do-narradas,80,2.0
16,1500,Rua General Pereira Da Silva,150 m² construídos4 quartos,largo-do-narradas,150,4.0
17,2000,Rua Mem De Sá,100 m² construídos3 quartos,largo-do-narradas,100,3.0
18,2300,Rua Doutor Sardinha,60 m² construídos2 quartos,largo-do-narradas,60,2.0
19,850,Rua Manoel Corrêa,15 m² construídos1 quarto,largo-do-narradas,15,1.0
20,680,Rua Manoel Corrêa,15 m² construídos1 quarto,largo-do-narradas,15,1.0
21,5000,"Rua Tupiniquins, 587",300 m² construídos4 quartos,largo-do-narradas,300,4.0
22,900,"Rua Da Conceição,
                95",32 m² construídos,largo-do-narradas,32,2.1363636363636362
23,1400,,79 m² construídos2 quartos,largo-do-narradas,79,2.0
24,820,"Rua Doutor Borman,
                23",30 m² construídos,largo-do-narradas,30,2.1363636363636362
25,1100,"Rua Da Conceição,
                95",32 m² construídos,largo-do-narradas,32,2.1363636363636362
26,830,Estrada Francisco Da Cruz Nunes,52 m² construídos2 quartos,largo-do-narradas,52,2.0
27,2150,Rua Coronel Moreira César,84 m² construídos1 quarto,largo-do-narradas,84,1.0
28,3500,Avenida Quintino Bocaiúva,162 m² construídos2 quartos,largo-do-narradas,162,2.0
29,981,Rua Coronel Sebastião Dantas,74 m² construídos2 quartos,largo-do-narradas,74,2.0
30,1590,Avenida Visconde Do Rio Branco,70 m² construídos2 quartos,largo-do-narradas,70,2.0
31,1260,Rua Ministro Otávio Kelly,76 m² construídos2 quartos,largo-do-narradas,76,2.0
32,12490,Avenida Almirante Benjamin Sodré,600 m² construídos4 quartos,largo-do-narradas,600,4.0
33,1050,Rua Noronha Torrezão,70 m² construídos2 quartos,largo-do-narradas,70,2.0
34,2000,Avenida Almirante Ary Parreiras,110 m² construídos4 quartos,largo-do-narradas,110,4.0
35,850,Rua Visconde De Itaboraí,80 m² construídos2 quartos,largo-do-narradas,80,2.0
36,1250,Rua Doutor March,57 m² construídos2 quartos,largo-do-narradas,57,2.0
37,1150,Rua Pereira Nunes,70 m² construídos1 quarto,largo-do-narradas,70,1.0
38,1410,Rua Presidente Backer,70 m² construídos1 quarto,largo-do-narradas,70,1.0
39,1130,Travessa Santa Rosa Do Viterbo,85 m² construídos2 quartos,largo-do-narradas,85,2.0
40,2500,Avenida Sete De Setembro,160 m² construídos3 quartos,largo-do-narradas,160,3.0
41,12000,Estrada Leopoldo Fróes,353 m² construídos4 quartos,largo-do-narradas,353,4.0
42,1920,Travessa Manoel Benício,80 m² construídos2 quartos,largo-do-narradas,80,2.0
43,2100,Rua Álvares De Azevedo,120 m² construídos3 quartos,largo-do-narradas,120,3.0
44,1200,Rua Professor Lara Vilela,45 m² construídos1 quarto,largo-do-narradas,45,1.0
