zona,area_quartos,enderecos_lista,aluguel
norte,115 m² construídos2 quartos,"Rua Paulo Do Vale Júnior, Vila Bancária Munhoz, São Paulo Zona Norte, São Paulo",2.080
norte,48 m² construídos2 quartos,"Rua Liestal, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.600
norte,70 m² construídos2 quartos,"Avenida Conceição, Carandiru, São Paulo Zona Norte, São Paulo",3.500
norte,40 m² construídos1 quarto,"Rua Carlos Dos Santos, Jardim Brasil, São Paulo Zona Norte, São Paulo",880
norte,63 m² construídos1 quarto,"Avenida Conceição, Vila Paiva, São Paulo Zona Norte, São Paulo",3.060
norte,155 m² construídos2 quartos,"Rua Moreira De Vasconcelos, Vila Maria Alta, São Paulo Zona Norte, São Paulo",3.060
norte,50 m² construídos2 quartos,"Rua Comendador César Alfieri, Parque São Luís, São Paulo Zona Norte, São Paulo",1.260
norte,50 m² construídos2 quartos,"Avenida Ultramarino, Lauzane Paulista, São Paulo Zona Norte, São Paulo",1.417
norte,40 m² construídos1 quarto,"Avenida Das Flores, Jardim Peri, São Paulo Zona Norte, São Paulo",1.500
norte,42 m² construídos1 quarto,"Avenida Raimundo Pereira De Magalhães, Jardim Peri, São Paulo Zona Norte, São Paulo",1.400
norte,110 m² construídos2 quartos,"Travessa Renê Vannes, Jardim Peri, São Paulo Zona Norte, São Paulo",1.600
norte,39 m² construídos1 quarto,"Rua Alegria, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.900
norte,82 m² construídos3 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",3.570
norte,80 m² construídos2 quartos,"Rua Dolores Duran, Vila Basileia, São Paulo Zona Norte, São Paulo",1.976
norte,110 m² construídos4 quartos,"Rua Silva Guimarães, Vila Ede, São Paulo Zona Norte, São Paulo",2.200
norte,45 m² construídos2 quartos,"Rua Catugi, Vila Germinal, São Paulo Zona Norte, São Paulo",1.500
norte,130 m² construídos3 quartos,"Rua Salete, Santana, São Paulo Zona Norte, São Paulo",3.800
norte,47 m² construídos2 quartos,"Avenida Imperatriz Leopoldina, Jardim Peri, São Paulo Zona Norte, São Paulo",1.872
norte,350 m² construídos5 quartos,"Rua São Mauro, Jardim São Bento, São Paulo Zona Norte, São Paulo",4.300
norte,79 m² construídos2 quartos,"Rua Guaranésia, Vila Maria Baixa, São Paulo Zona Norte, São Paulo",3.000
norte,80 m² construídos2 quartos,"Alameda Segundo-sargento Ananias Holanda De Oliveira, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",1.200
norte,60 m² construídos3 quartos,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",2.200
norte,275 m² construídos3 quartos,"Estrada Do Sabão, Jardim Maristela, São Paulo Zona Norte, São Paulo",3.270
norte,64 m² construídos3 quartos,"Rua Emílio Goeldi, Jardim Peri, São Paulo Zona Norte, São Paulo",2.270
norte,38 m² construídos1 quarto,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",2.810
norte,60 m² construídos3 quartos,"Rua Igarité, Vila Nova Carolina, São Paulo Zona Norte, São Paulo",2.620
norte,160 m² construídos3 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",5.000
norte,50 m² construídos1 quarto,"Praça Rafael Mendes De Carvalho, Jardim Paraíso, São Paulo Zona Norte, São Paulo",900
norte,140 m² construídos3 quartos,"Avenida Ede, Vila Ede, São Paulo Zona Norte, São Paulo",2.700
norte,40 m² construídos1 quarto,"Rua Ciridião Durval, Vila Paulista, São Paulo Zona Norte, São Paulo",2.300
norte,125 m² construídos3 quartos,"Rua Anthêmios De Tralles, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",2.800
norte,160 m² construídos,"Mandaqui, São Paulo Zona Norte, São Paulo",5.500
norte,50 m² construídos1 quarto,"Rua Manuel Pitta, Vila Pita, São Paulo Zona Norte, São Paulo",1.000
norte,45 m² construídos1 quarto,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",1.500
norte,50 m² construídos1 quarto,"Rua Domiciano Ribeiro, Casa Verde Alta, São Paulo Zona Norte, São Paulo",787
norte,65 m² construídos2 quartos,"Avenida Yara, Jardim Peri, São Paulo Zona Norte, São Paulo",1.588
norte,72 m² construídos2 quartos,"Rua São Zeferino, Jardim França, São Paulo Zona Norte, São Paulo",1.600
norte,43 m² construídos2 quartos,"Avenida Maestro Villa Lobos, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.300
norte,38 m² construídos2 quartos,"Avenida Gustavo Adolfo, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.320
norte,40 m² construídos1 quarto,"Rua Lauro Megale, Parque Novo Mundo, São Paulo Zona Norte, São Paulo",850
norte,60 m² construídos1 quarto,"Rua Benfica, Jardim Brasil, São Paulo Zona Norte, São Paulo",680
norte,50 m² construídos,"Santana, São Paulo Zona Norte, São Paulo",5.500
norte,120 m² construídos,"Jardim São Paulo, São Paulo Zona Norte, São Paulo",5.000
norte,32 m² construídos1 quarto,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.260
norte,70 m² construídos1 quarto,"Nobrega De Souza Coutinho 05, Jardim Peri, São Paulo Zona Norte, São Paulo",600
norte,90 m² construídos1 quarto,"Enoch Barreira De Macedo 88, Parque Tietê, São Paulo Zona Norte, São Paulo",900
norte,80 m² construídos2 quartos,"Rua José Eduardo Raduan 5, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1.299
norte,50 m² construídos1 quarto,"Rua Campo Belo Do Sul 113, Parque Vitória, São Paulo Zona Norte, São Paulo",1.000
