zona,area_quartos,enderecos_lista,aluguel
norte,284 m² construídos4 quartos,"Rua Sousa Lopes, Lauzane Paulista, São Paulo Zona Norte, São Paulo",6.780
norte,50 m² construídos2 quartos,"Avenida Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",1.560
norte,275 m² construídos5 quartos,"Rua Manuel José De Almeida, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",3.200
norte,100 m² construídos3 quartos,"Rua Hanna Abduch, Vila Palmeiras, São Paulo Zona Norte, São Paulo",1.800
norte,67 m² construídos2 quartos,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",1.700
norte,125 m² construídos2 quartos,"Rua Engenheiro Albano De Azevedo, Vila Primavera, São Paulo Zona Norte, São Paulo",2.500
norte,92 m² construídos2 quartos,"Rua Francisco Da Lira, Jardim Leonor Mendes De Barros, São Paulo Zona Norte, São Paulo",1.785
norte,52 m² construídos2 quartos,"Rua Antônio Campelo, Vila Vitório Mazzei, São Paulo Zona Norte, São Paulo",1.790
norte,63 m² construídos3 quartos,"Rua Eugênio De Freitas, Vila Guilherme, São Paulo Zona Norte, São Paulo",2.200
norte,59 m² construídos2 quartos,"Rua Professor João Machado, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",2.300
norte,300 m² construídos3 quartos,"Rua Casa Forte, Água Fria, São Paulo Zona Norte, São Paulo",6.000
norte,55 m² construídos2 quartos,"Rua Borges, Parada Inglesa, São Paulo Zona Norte, São Paulo",1.910
norte,50 m² construídos2 quartos,"Rua Orindiúva, Vila Maria Alta, São Paulo Zona Norte, São Paulo",2.000
norte,45 m² construídos2 quartos,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",1.710
norte,75 m² construídos2 quartos,"Avenida Professor Celestino Bourroul, Limão, São Paulo Zona Norte, São Paulo",2.270
norte,90 m² construídos2 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2.300
norte,51 m² construídos2 quartos,"Rua Antônio Campelo, Vila Vitório Mazzei, São Paulo Zona Norte, São Paulo",1.850
norte,35 m² construídos1 quarto,"Rua Pixibas, Vila Gustavo, São Paulo Zona Norte, São Paulo",1.300
norte,90 m² construídos2 quartos,"Rua Reims, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",2.300
norte,80 m² construídos2 quartos,"Avenida Itaberaba, Itaberaba, São Paulo Zona Norte, São Paulo",1.900
norte,78 m² construídos2 quartos,"Rua Guanapus, Vila Dom Pedro Ii, São Paulo Zona Norte, São Paulo",2.000
norte,56 m² construídos2 quartos,"Avenida Itaberaba, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",2.360
norte,49 m² construídos2 quartos,"Rua Dos Camarés, Carandiru, São Paulo Zona Norte, São Paulo",2.200
norte,240 m² construídos4 quartos,"Rua Pontins, Santana, São Paulo Zona Norte, São Paulo",5.500
norte,40 m² construídos1 quarto,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2.500
norte,58 m² construídos2 quartos,"Rua Pedro Madureira, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.330
norte,75 m² construídos3 quartos,"Rua Anastácio De Souza Pinto, Nossa Senhora Do Ó, São Paulo Zona Norte, São Paulo",2.210
norte,80 m² construídos3 quartos,"Rua Baião Parente, Vila Primavera, São Paulo Zona Norte, São Paulo",2.300
norte,400 m² construídos5 quartos,"Rua Dom Domingos De Silos, Jardim São Bento, São Paulo Zona Norte, São Paulo",8.680
norte,250 m² construídos3 quartos,"Rua Manuel De Arzão, Vila Albertina, São Paulo Zona Norte, São Paulo",6.000
norte,350 m² construídos4 quartos,"Rua Diógenes De Lima, Parque Peruche, São Paulo Zona Norte, São Paulo",13.000
norte,80 m² construídos2 quartos,"Avenida Álvaro Machado Pedrosa, Parada Inglesa, São Paulo Zona Norte, São Paulo",1.890
norte,300 m² construídos2 quartos,"Rua Gonçalves Figueira, Vila Bandeirantes, São Paulo Zona Norte, São Paulo",5.000
norte,50 m² construídos2 quartos,"Rua Juan Arfe, Vila Cruz Das Almas, São Paulo Zona Norte, São Paulo",1.800
norte,150 m² construídos4 quartos,"Rua José De Medeiros, Vila Medeiros, São Paulo Zona Norte, São Paulo",3.300
norte,300 m² construídos3 quartos,"Rua Padre José Dos Santos, Santana, São Paulo Zona Norte, São Paulo",3.000
norte,70 m² construídos3 quartos,"Avenida Manoel Pedro Pímentel, Jardim Peri, São Paulo Zona Norte, São Paulo",2.300
norte,"1,600 m² construídos","Ataliba Vieira, Vila Medeiros, São Paulo Zona Norte, São Paulo",25.000
norte,50 m² construídos2 quartos,"Rua Vitalina Moura, Vila Roque, São Paulo Zona Norte, São Paulo",1.500
norte,50 m² construídos2 quartos,"Rua Vitalina Moura, Vila Roque, São Paulo Zona Norte, São Paulo",2.190
norte,102 m² construídos3 quartos,"Rua Bartolomeu Faria, Vila Albertina, São Paulo Zona Norte, São Paulo",2.060
norte,55 m² construídos2 quartos,"Rua José Ataliba Ortiz, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.600
norte,51 m² construídos2 quartos,"Rua Portão Preto, Vila Mangalot, São Paulo Zona Norte, São Paulo",1.180
norte,180 m² construídos2 quartos,"Rua Doutor Zuquim, Santana, São Paulo Zona Norte, São Paulo",3.200
norte,50 m² construídos2 quartos,"Rua Judith Zumkeller, Parque Mandaqui, São Paulo Zona Norte, São Paulo",3.360
norte,52 m² construídos2 quartos,"Rua Bela Vista Do Paraíso, Vila Palmeiras, São Paulo Zona Norte, São Paulo",2.800
norte,157 m² construídos3 quartos,"Rua Das Catileias, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",3.360
norte,180 m² construídos3 quartos,"Rua Gurupatuba, Vila Mazzei, São Paulo Zona Norte, São Paulo",3.000
norte,195 m² construídos4 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",5.810
norte,15 m² construídos1 quarto,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",750
norte,36 m² construídos2 quartos,"Rua Xavier Kraus, Jardim Peri, São Paulo Zona Norte, São Paulo",2.350
norte,43 m² construídos2 quartos,"Rua Intendência, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.600
norte,15 m² construídos1 quarto,"Avenida Mazzei, Vila Mazzei, São Paulo Zona Norte, São Paulo",750
norte,100 m² construídos2 quartos,"Rua Maria Marcolina, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.664
norte,100 m² construídos1 quarto,"Rua Dom Bento Pickel, Casa Verde Alta, São Paulo Zona Norte, São Paulo",1.400
norte,300 m² construídos4 quartos,"Rua Doutor Luís Barreto Filho, Vila Pereira Barreto, São Paulo Zona Norte, São Paulo",4.000
norte,55 m² construídos2 quartos,"Rua Manuel Cherem, Vila Paulista, São Paulo Zona Norte, São Paulo",2.100
norte,300 m² construídos4 quartos,"Rua Professor Luis Lucchini, Sítio Do Mandaqui, São Paulo Zona Norte, São Paulo",5.000
norte,60 m² construídos1 quarto,"Avenida Padre Pereira De Andrade, Jardim Peri, São Paulo Zona Norte, São Paulo",3.000
norte,115 m² construídos3 quartos,"Rua Anthémios De Tralles, Vila Nova Mazzei, São Paulo Zona Norte, São Paulo",2.960
norte,92 m² construídos2 quartos,"Rua Anacleto, Vila Isolina Mazzei, São Paulo Zona Norte, São Paulo",2.350
norte,96 m² construídos3 quartos,"Rua Capricho, Vila Nivi, São Paulo Zona Norte, São Paulo",2.100
norte,141 m² construídos3 quartos,"Rua Alphonsus De Guimaraens, Santana, São Paulo Zona Norte, São Paulo",4.000
norte,146 m² construídos3 quartos,"Rua Carlos Weber, Jardim Peri, São Paulo Zona Norte, São Paulo",4.500
norte,47 m² construídos2 quartos,"Rua Parambu, Parque Vitória, São Paulo Zona Norte, São Paulo",1.550
norte,72 m² construídos2 quartos,"Rua José Soriano De Sousa, Casa Verde Alta, São Paulo Zona Norte, São Paulo",1.470
norte,67 m² construídos2 quartos,"Praça Delegado Amoroso Neto, Jardim Das Laranjeiras, São Paulo Zona Norte, São Paulo",2.000
norte,52 m² construídos2 quartos,"Rua Tito Nicolau, Vila Amália, São Paulo Zona Norte, São Paulo",1.340
norte,45 m² construídos2 quartos,"Avenida Inajar De Souza, Limão, São Paulo Zona Norte, São Paulo",1.700
norte,64 m² construídos2 quartos,"Rua Garção Tinoco, Santana, São Paulo Zona Norte, São Paulo",2.850
norte,55 m² construídos2 quartos,"Rua Justino Alves Batista, Jardim Peri, São Paulo Zona Norte, São Paulo",1.200
norte,500 m² construídos4 quartos,"Rua Japira, Jardim França, São Paulo Zona Norte, São Paulo",4.600
norte,40 m² construídos1 quarto,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2.500
norte,125 m² construídos3 quartos,"Rua Igapira, Santana, São Paulo Zona Norte, São Paulo",3.330
norte,32 m² construídos1 quarto,"Avenida Rangel Pestana, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.500
norte,40 m² construídos1 quarto,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2.600
norte,40 m² construídos1 quarto,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",2.500
norte,78 m² construídos2 quartos,"Rua Professor José Miziara, Santa Teresinha, São Paulo Zona Norte, São Paulo",1.910
norte,74 m² construídos2 quartos,"Rua Carlos Weber, Jardim Peri, São Paulo Zona Norte, São Paulo",2.610
norte,37 m² construídos1 quarto,"Rua Antônio Medusa, Vila Pereira Barreto, São Paulo Zona Norte, São Paulo",1.750
norte,54 m² construídos2 quartos,"Leôncio De Magalhães, Jardim São Paulo, São Paulo Zona Norte, São Paulo",1.700
norte,54 m² construídos2 quartos,"Rua José Debieux, Santana, São Paulo Zona Norte, São Paulo",1.800
norte,45 m² construídos1 quarto,"Rua Madrigais, Vila Nova Cachoeirinha, São Paulo Zona Norte, São Paulo",1.750
norte,179 m² construídos3 quartos,"Rua Alfredo Pujol, Santana, São Paulo Zona Norte, São Paulo",5.330
norte,65 m² construídos2 quartos,"Avenida Carlos Alberto Moretti, Jardim Peri, São Paulo Zona Norte, São Paulo",1.500
norte,59 m² construídos2 quartos,"Rua Da Cavalgada, Jardim Julieta, São Paulo Zona Norte, São Paulo",1.380
norte,40 m² construídos1 quarto,"Rua Piratininga, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.500
norte,51 m² construídos2 quartos,"Rua Do Lucas, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.980
norte,55 m² construídos2 quartos,"Rua Manuel Pitta, Vila Pita, São Paulo Zona Norte, São Paulo",3.500
norte,58 m² construídos2 quartos,"Travessa Álvaro Medina, Jardim Peri, São Paulo Zona Norte, São Paulo",2.560
norte,78 m² construídos2 quartos,"Rua Aureliano Leal, Água Fria, São Paulo Zona Norte, São Paulo",2.713
norte,160 m² construídos2 quartos,"Rua Miguel Helou, Parque Monteiro Soares, São Paulo Zona Norte, São Paulo",3.500
norte,46 m² construídos1 quarto,"Rua Ministro Romeiro Neto, Vila Basileia, São Paulo Zona Norte, São Paulo",1.310
norte,684 m² construídos,"Avenida Guaca 00, Lauzane Paulista, São Paulo Zona Norte, São Paulo",20.000
norte,46 m² construídos1 quarto,"Rua Ministro Romeiro Neto, Vila Basileia, São Paulo Zona Norte, São Paulo",1.310
norte,46 m² construídos1 quarto,"Rua Ministro Romeiro Neto, Vila Basileia, São Paulo Zona Norte, São Paulo",1.310
norte,46 m² construídos1 quarto,"Rua Ministro Romeiro Neto, Vila Basileia, São Paulo Zona Norte, São Paulo",1.310
norte,46 m² construídos1 quarto,"Rua Ministro Romeiro Neto, Vila Basileia, São Paulo Zona Norte, São Paulo",1.310
norte,90 m² construídos2 quartos,"Rua Voluntários Da Pátria, Santana, São Paulo Zona Norte, São Paulo",1.460
norte,65 m² construídos2 quartos,"General Ataliba Leonel, Parada Inglesa, São Paulo Zona Norte, São Paulo",1.600
norte,80 m² construídos2 quartos,"Rua Durval Moreira Do Amaral, Vila Marina, São Paulo Zona Norte, São Paulo",1.650
norte,60 m² construídos2 quartos,"Rua Padre Leão Peruche, Vila Mazzei, São Paulo Zona Norte, São Paulo",1.250
norte,46 m² construídos1 quarto,"Rua Ministro Romeiro Neto, Vila Basileia, São Paulo Zona Norte, São Paulo",1.310
norte,48 m² construídos1 quarto,"Rua Ministro Romeiro Neto, Vila Basileia, São Paulo Zona Norte, São Paulo",1.310
norte,40 m² construídos1 quarto,"Avenida Paulo Silva Araújo, Jardim São Paulo, São Paulo Zona Norte, São Paulo",2.020
norte,47 m² construídos2 quartos,"Rua Antônio Borges, Parque Edu Chaves, São Paulo Zona Norte, São Paulo",1.470
norte,70 m² construídos1 quarto,"Rua Alberto Arnoldi, Jardim Paraíso, São Paulo Zona Norte, São Paulo",1.030
norte,150 m² construídos,"Das Cerejeiras, Jardim Japão, São Paulo Zona Norte, São Paulo",3.685
norte,95 m² construídos3 quartos,"Rua Soror Angélica, Vila Ester (zona Norte), São Paulo Zona Norte, São Paulo",2.184
norte,50 m² construídos1 quarto,"Rua Doutor Carlos Botelho, Jardim Brasília (zona Norte), São Paulo Zona Norte, São Paulo",1.200
norte,60 m² construídos1 quarto,"Rua Doutor Olavo Egídio, Santana, São Paulo Zona Norte, São Paulo",3.800
norte,60 m² construídos2 quartos,"Rua Isolina, Jardim Carlu, São Paulo Zona Norte, São Paulo",1.500
sul,73 m² construídos2 quartos,"Nicolau Barreto 614, Brooklin Novo, São Paulo Zona Sul, São Paulo",870.000
sul,68 m² construídos3 quartos,"Rua Chapada De Minas 210, Vila Andrade, São Paulo Zona Sul, São Paulo",1.350
sul,110 m² construídos3 quartos,"Avenida Brigadeiro Luís Antônio, Jardim Paulista, São Paulo Zona Sul, São Paulo",3.400
sul,65 m² construídos2 quartos,"Rua Nossa Senhora Das Mercês, Vila Das Mercês, São Paulo Zona Sul, São Paulo",1.050
sul,80 m² construídos3 quartos,"Rua Abdo Ambuba, Vila Andrade, São Paulo Zona Sul, São Paulo",1.500
sul,80 m² construídos2 quartos,"Edgar De Campos 171, Vila Nair, São Paulo Zona Sul, São Paulo",1.800
sul,68 m² construídos2 quartos,"Rua Agostinho Gomes, Ipiranga, São Paulo Zona Sul, São Paulo",3.200
sul,250 m² construídos3 quartos,"Rua Marquês De Herval, 136, Vila Da Saúde, São Paulo Zona Sul, São Paulo",5.500
sul,61 m² construídos1 quarto,"Rua Leopoldo Couto De Magalhaes Junior, 1088, Itaim Bibi, São Paulo Zona Sul, São Paulo",5.500
sul,260 m² construídos4 quartos,"Rua Lima E Silva, 160, Ipiranga, São Paulo Zona Sul, São Paulo",5.500
sul,95 m² construídos2 quartos,"Rua Bacaetava, 66, Vila Gertrudes, São Paulo Zona Sul, São Paulo",5.500
sul,55 m² construídos2 quartos,"Rua Arapá, Vila Mascote, São Paulo Zona Sul, São Paulo",1.600
sul,45 m² construídos1 quarto,"Rua Durval Silva, Cidade Domitila, São Paulo Zona Sul, São Paulo",620
sul,45 m² construídos1 quarto,"Rua Bueno De Andrade, Aclimação, São Paulo Zona Sul, São Paulo",1.260
sul,90 m² construídos,"Rua Arandu, 205, Brooklin Paulista, São Paulo Zona Sul, São Paulo",6.200
sul,40 m² construídos1 quarto,"Rua Tito Oliani, São João Climaco, São Paulo Zona Sul, São Paulo",780
sul,45 m² construídos1 quarto,"Rua Vergueiro, 3169, Vila Mariana, São Paulo Zona Sul, São Paulo",1.720
sul,33 m² construídos1 quarto,"Avenida Itaboraí, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",1.820
sul,77 m² construídos,"Vila Olímpia, São Paulo Zona Sul, São Paulo",5.500
sul,62 m² construídos2 quartos,"Rua Marechal Pimentel, Jardim Santa Cruz (sacomã), São Paulo Zona Sul, São Paulo",1.341
sul,55 m² construídos1 quarto,"Avenida Washington Luís, Santo Amaro, São Paulo Zona Sul, São Paulo",1.400
sul,110 m² construídos3 quartos,"Avenida Padre José Maria, Santo Amaro, São Paulo Zona Sul, São Paulo",2.500
sul,74 m² construídos3 quartos,"Avenida Sargento Geraldo Sant#39ana, Jardim Taquaral, São Paulo Zona Sul, São Paulo",1.400
sul,78 m² construídos3 quartos,"Rua Assungui, Vila Mariana, São Paulo Zona Sul, São Paulo",2.080
sul,50 m² construídos1 quarto,"Rua Doutor Neto De Araújo, Vila Mariana, São Paulo Zona Sul, São Paulo",2.500
sul,186 m² construídos3 quartos,"Rua Frei Rolim, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",1.510
sul,45 m² construídos1 quarto,"Rua Leopoldo Couto De Magalhaes, 539, Itaim Bibi, São Paulo Zona Sul, São Paulo",5.500
sul,40 m² construídos1 quarto,"Rua Doutor Mario De Campos, Americanópolis, São Paulo Zona Sul, São Paulo",900
sul,59 m² construídos2 quartos,"Rua Augusto Blasi, Jardim Celeste, São Paulo Zona Sul, São Paulo",1.120
sul,60 m² construídos2 quartos,"Avenida Dos Ourives, Jardim São Savério, São Paulo Zona Sul, São Paulo",1.100
sul,40 m² construídos1 quarto,"Rua Francisco José Da Silva, Vila Andrade, São Paulo Zona Sul, São Paulo",1.502
sul,34 m² construídos1 quarto,"Rua Dois De Julho, Ipiranga, São Paulo Zona Sul, São Paulo",1.900
sul,80 m² construídos3 quartos,"Rua Abdo Ambuba, Vila Andrade, São Paulo Zona Sul, São Paulo",1.500
sul,16 m² construídos1 quarto,"Rua Humberto I, Vila Mariana, São Paulo Zona Sul, São Paulo",3.500
sul,96 m² construídos3 quartos,"Avenida Ibijaú, Moema, São Paulo Zona Sul, São Paulo",5.500
sul,100 m² construídos3 quartos,"Avenida Doutor Mário Vilas Boas Rodrigues, Jardim Dom Bosco, São Paulo Zona Sul, São Paulo",4.100
sul,64 m² construídos2 quartos,"Rua Desembargador Aragão, Vila Mariana, São Paulo Zona Sul, São Paulo",4.200
sul,86 m² construídos3 quartos,"Avenida Mascote, Vila Mascote, São Paulo Zona Sul, São Paulo",2.697
sul,43 m² construídos1 quarto,"Avenida Doutor Cardoso De Melo, Vila Olímpia, São Paulo Zona Sul, São Paulo",3.500
sul,90 m² construídos2 quartos,"Alameda Itu, Jardim Paulista, São Paulo Zona Sul, São Paulo",3.300
sul,128 m² construídos3 quartos,"Rua Indiana, Brooklin Paulista, São Paulo Zona Sul, São Paulo",8.000
sul,70 m² construídos2 quartos,"Rua Virgillio Di Cicco, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",2.080
sul,50 m² construídos2 quartos,"Rua Abagiba, Saúde, São Paulo Zona Sul, São Paulo",1.650
sul,80 m² construídos2 quartos,"Rua Fagundes Dias, Saúde, São Paulo Zona Sul, São Paulo",2.198
sul,45 m² construídos2 quartos,"Rua Dilermando Reis, Jardim Ubirajara (zona Sul), São Paulo Zona Sul, São Paulo",1.200
sul,38 m² construídos1 quarto,"Rua Diogo Vaz, Cambuci, São Paulo Zona Sul, São Paulo",1.200
sul,63 m² construídos2 quartos,"Avenida Do Cursino, Vila Moraes, São Paulo Zona Sul, São Paulo",1.800
sul,67 m² construídos3 quartos,"Rua José Da Silva Ribeiro, Vila Andrade, São Paulo Zona Sul, São Paulo",2.200
sul,39 m² construídos1 quarto,"Rua Doutor Pinto Ferraz, Vila Mariana, São Paulo Zona Sul, São Paulo",2.000
sul,52 m² construídos2 quartos,"Rua Das Uvaias, Saúde, São Paulo Zona Sul, São Paulo",2.500
sul,69 m² construídos3 quartos,"Avenida Doutor Altino Arantes, Vila Clementino, São Paulo Zona Sul, São Paulo",2.150
sul,68 m² construídos2 quartos,"Rua Maracá, Vila Guarani (z Sul), São Paulo Zona Sul, São Paulo",2.500
sul,185 m² construídos3 quartos,"Rua Doutor Renato Paes De Barros, Itaim Bibi, São Paulo Zona Sul, São Paulo",15.000
sul,30 m² construídos1 quarto,"Rua Gomes De Carvalho, Vila Olímpia, São Paulo Zona Sul, São Paulo",2.520
sul,72 m² construídos2 quartos,"Rua Três De Maio, Vila Clementino, São Paulo Zona Sul, São Paulo",2.020
sul,57 m² construídos2 quartos,"Rua Leopoldo De Bulhões, Vila Clementino, São Paulo Zona Sul, São Paulo",3.162
sul,26 m² construídos1 quarto,"Rua Itacoarati, Vila Nair, São Paulo Zona Sul, São Paulo",1.750
sul,90 m² construídos2 quartos,"Rua Bagé, Vila Mariana, São Paulo Zona Sul, São Paulo",2.300
sul,65 m² construídos2 quartos,"Avenida Doutor Lino De Moraes Leme, Campo Belo, São Paulo Zona Sul, São Paulo",1.000
sul,37 m² construídos1 quarto,"Avenida Macuco, Moema, São Paulo Zona Sul, São Paulo",1.600
sul,37 m² construídos1 quarto,"Avenida Macuco, Moema, São Paulo Zona Sul, São Paulo",1.600
sul,320 m² construídos2 quartos,"Rua Pamplona, Jardim Paulista, São Paulo Zona Sul, São Paulo",6.500
sul,64 m² construídos3 quartos,"Rua Padre Machado, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",2.200
sul,300 m² construídos5 quartos,"Rua Gaivota, Moema, São Paulo Zona Sul, São Paulo",10.000
sul,55 m² construídos1 quarto,"Avenida Moreira Guimarães, Indianópolis, São Paulo Zona Sul, São Paulo",1.300
sul,150 m² construídos4 quartos,"Rua Paulo Orozimbo, Cambuci, São Paulo Zona Sul, São Paulo",4.000
sul,30 m² construídos1 quarto,"Avenida Chibarás, Moema, São Paulo Zona Sul, São Paulo",2.319
sul,124 m² construídos2 quartos,"Rua Abílio Soares, Paraíso, São Paulo Zona Sul, São Paulo",3.500
sul,75 m² construídos2 quartos,"Rua Vicente Leporace, Campo Belo, São Paulo Zona Sul, São Paulo",2.400
sul,83 m² construídos2 quartos,"Rua Itatupã, Vila Andrade, São Paulo Zona Sul, São Paulo",3.570
sul,25 m² construídos1 quarto,"Rua Sabino, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",1.250
sul,114 m² construídos3 quartos,"Avenida João Peixoto Viegas, Jardim Consórcio, São Paulo Zona Sul, São Paulo",4.500
sul,115 m² construídos2 quartos,"Avenida Assaré, Jardim Sabará, São Paulo Zona Sul, São Paulo",2.856
sul,69 m² construídos2 quartos,"Rua Pedro Morganti, Vila Mariana, São Paulo Zona Sul, São Paulo",2.350
sul,94 m² construídos2 quartos,"Avenida Afonso Mariano Fagundes, Saúde, São Paulo Zona Sul, São Paulo",2.373
sul,49 m² construídos2 quartos,"Rua Giácomo Cozzarelli, Vila Santa Teresa (zona Sul), São Paulo Zona Sul, São Paulo",1.300
sul,90 m² construídos2 quartos,"Avenida Macuco, Moema, São Paulo Zona Sul, São Paulo",3.500
sul,70 m² construídos2 quartos,"Rua Diogo Vaz, Cambuci, São Paulo Zona Sul, São Paulo",1.500
sul,109 m² construídos2 quartos,"Rua Tibiriçá, Brooklin Paulista, São Paulo Zona Sul, São Paulo",1.600
sul,138 m² construídos3 quartos,"Rua Antônio Pacheco Valente, Santo Amaro, São Paulo Zona Sul, São Paulo",10.000
sul,81 m² construídos2 quartos,"Rua Fiandeiras, Vila Olímpia, São Paulo Zona Sul, São Paulo",5.000
sul,196 m² construídos3 quartos,"Rua Palmares, Brooklin Paulista, São Paulo Zona Sul, São Paulo",4.080
sul,65 m² construídos2 quartos,"Avenida Interlagos, Jardim Marajoara, São Paulo Zona Sul, São Paulo",2.900
sul,52 m² construídos2 quartos,"Rua Abagiba, Saúde, São Paulo Zona Sul, São Paulo",2.020
sul,50 m² construídos1 quarto,"Rua Leopoldo Couto De Magalhães Júnior, Itaim Bibi, São Paulo Zona Sul, São Paulo",2.520
sul,52 m² construídos2 quartos,"Rua Salvador Iacona, Vila Santa Catarina, São Paulo Zona Sul, São Paulo",1.600
sul,40 m² construídos1 quarto,"Rua Borges Lagoa, Vila Clementino, São Paulo Zona Sul, São Paulo",2.520
sul,380 m² construídos3 quartos,"Rua Pascal, Campo Belo, São Paulo Zona Sul, São Paulo",15.000
sul,183 m² construídos3 quartos,"Rua São Paulo Antigo, Real Parque, São Paulo Zona Sul, São Paulo",6.000
sul,80 m² construídos3 quartos,"Rua José Benedito Salinas, Jardim Itapeva, São Paulo Zona Sul, São Paulo",2.200
sul,170 m² construídos2 quartos,"Rua Antônio Gil, Vila Inglesa, São Paulo Zona Sul, São Paulo",2.970
sul,137 m² construídos3 quartos,"Rua Bagé, Vila Mariana, São Paulo Zona Sul, São Paulo",4.500
sul,45 m² construídos1 quarto,"Rua Peixoto Gomide, Jardim Paulista, São Paulo Zona Sul, São Paulo",1.500
sul,57 m² construídos2 quartos,"Rua Dom Vilares, Vila Das Mercês, São Paulo Zona Sul, São Paulo",2.600
sul,40 m² construídos1 quarto,"Rua Desembargador Aragão, Vila Mariana, São Paulo Zona Sul, São Paulo",3.270
sul,45 m² construídos1 quarto,"Avenida Itaboraí, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",1.055
sul,69 m² construídos2 quartos,"Avenida Itaboraí, Bosque Da Saúde, São Paulo Zona Sul, São Paulo",2.500
sul,69 m² construídos1 quarto,"Rua Miguel Yunes, Usina Piratininga, São Paulo Zona Sul, São Paulo",4.000
sul,380 m² construídos4 quartos,"Rua Marcos Fernandes, Jardim Da Saúde, São Paulo Zona Sul, São Paulo",13.500
sul,50 m² construídos1 quarto,"Rua Doutor Renato Paes De Barros, Itaim Bibi, São Paulo Zona Sul, São Paulo",2.020
sul,185 m² construídos2 quartos,"Rua Batataes, Jardim Paulista, São Paulo Zona Sul, São Paulo",5.500
sul,72 m² construídos2 quartos,"Alameda Franca, Jardim Paulista, São Paulo Zona Sul, São Paulo",5.500
sul,301 m² construídos4 quartos,"Rua Iubatinga, Vila Andrade, São Paulo Zona Sul, São Paulo",6.500
sul,90 m² construídos3 quartos,"Rua Camarujipe, Vila Constança, São Paulo Zona Sul, São Paulo",1.320
sul,222 m² construídos3 quartos,"Rua Volta Redonda, Campo Belo, São Paulo Zona Sul, São Paulo",13.000
sul,95 m² construídos3 quartos,"Rua Da Paz 1313, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",2.856
sul,60 m² construídos2 quartos,"Rua Santa Justina, Vila Olímpia, São Paulo Zona Sul, São Paulo",3.900
sul,44 m² construídos1 quarto,"Rua Doutor Chibata Miyakoshi, Paraíso Do Morumbi, São Paulo Zona Sul, São Paulo",3.000
sul,224 m² construídos3 quartos,"Rua José Maria Lisboa, Jardim Paulista, São Paulo Zona Sul, São Paulo",14.530
sul,245 m² construídos4 quartos,"Rua Do Estilo Barroco, Santo Amaro, São Paulo Zona Sul, São Paulo",5.330
sul,55 m² construídos2 quartos,"Rua Nelson Gama De Oliveira, Vila Andrade, São Paulo Zona Sul, São Paulo",2.400
sul,50 m² construídos2 quartos,"Rua Alfredo Jorel, Jardim Celeste, São Paulo Zona Sul, São Paulo",2.000
sul,38 m² construídos1 quarto,"Rua Indiana, Brooklin Paulista, São Paulo Zona Sul, São Paulo",1.996
sul,137 m² construídos2 quartos,"Rua Alexandre Dumas, Chácara Santo Antônio, São Paulo Zona Sul, São Paulo",2.080
sul,44 m² construídos1 quarto,"Avenida Jurema, Indianópolis, São Paulo Zona Sul, São Paulo",2.000
sul,51 m² construídos2 quartos,"Avenida Barro Branco, Vila Do Encontro, São Paulo Zona Sul, São Paulo",1.320
sul,71 m² construídos2 quartos,"Rua Pereira Caldas, Jardim Da Glória, São Paulo Zona Sul, São Paulo",3.264
sul,500 m² construídos4 quartos,"Rua Albertina Alves Jorge, Vila Cruzeiro, São Paulo Zona Sul, São Paulo",15.000
sul,190 m² construídos4 quartos,"Rua Mirassol, Vila Clementino, São Paulo Zona Sul, São Paulo",3.763
sul,83 m² construídos2 quartos,"Rua Moacir Guimarães, São João Climaco, São Paulo Zona Sul, São Paulo",1.260
